id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
5f90ef01-7ca3-49c1-a031-7ee70a3d3e3d,tranquilly.gg,available,,,medium,high,10,,,
efa86b40-7f4e-479c-88bc-7b96e2b3e9f5,readjust.gg,available,,,medium,high,8,,,
add1b288-6ba3-4a71-aa8d-1a8c5feb4a45,Auchinleck.gg,available,,,medium,high,10,,,
9c103f9f-54ad-4fc9-891b-8da80c19d69c,crashcourse.gg,available,,,medium,high,12,,,
042075a8-68fc-4013-a30c-d8814b00a258,firebrand.gg,resell,,,medium,high,9,Porkbun LLC (https://porkbun.com/),,
e1a5b159-dee2-412c-adb3-8037596bb1a5,lusaka.gg,available,,,medium,high,6,,,
8fae7375-916d-4121-9d1b-20a4c1ae2e0e,flossing.gg,available,,,medium,low,8,,,
ae9edb3c-36b4-46ba-856d-6d8084c3363a,retronym.gg,available,,,medium,high,8,,,
085ee532-3347-4273-8b6d-01f2a834812a,apiarian.gg,available,,,medium,low,8,,,
9591ed81-b6ba-484c-94f3-1555c4eccf10,fingerspinner.gg,available,,,medium,medium,14,,,
abd3361e-3bfe-4dde-93aa-7537b4697280,Midasian.gg,available,,,medium,low,8,,,
91f70fb8-de0e-4b10-b2b5-6bd376f0dbf3,cometotermswith.gg,available,82.98,,high,low,18,namecheap,,
b430127b-df71-4ce9-9775-c6bda9c5bd7a,noseringed.gg,available,,,medium,high,11,,,
7f76d440-7c19-49cd-a0ee-afa58443434a,whatnow.gg,available,82.98,,medium,low,8,namecheap,,
83d70d5d-4601-47d2-b592-bd34601e67bf,sunups.gg,available,,,low,low,6,,,
10c29b87-5b1e-4fe4-bb07-6a095a993fcf,toybox.gg,resell,,,medium,high,7,Docky Company (https://docky.ly),,
e55a29f1-6dce-4b71-8bc9-dbae52013211,expressionist.gg,available,,,high,high,13,,,
75a95919-2a01-4740-87ca-121068a776e3,FiveWays.gg,available,,,medium,high,9,,,
6ba50ad6-7912-4b23-848f-2cb44c458045,offguard.gg,available,,,medium,high,9,,,
aff4049e-17b6-4773-8b42-80c547b20075,equalling.gg,available,,,medium,low,9,,,
568babe3-252c-4651-a74e-cc02c8aa84a1,fortysix.gg,available,,,medium,low,9,,,
99ae0149-2187-44a0-9dd4-1aaa12dc6344,niches.gg,available,82.98,,low,low,6,namecheap,,
31ae2167-fdd5-4942-9a68-9103ebf58cfe,pulling.gg,available,,,medium,high,7,,,
